# Opening names, from lichess-org/chess-openings (CC0), with
# Persian family names added. Built by python/openings.py.
# eco<TAB>name<TAB>persian family<TAB>moves in UCI
A00	Amar Opening	گشایش آمار	g1h3
A00	Amar Opening: Paris Gambit	گشایش آمار	g1h3 d7d5 g2g3 e7e5 f2f4
A00	Amar Opening: Paris Gambit, Gent Gambit	گشایش آمار	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3
A00	Amsterdam Attack	حمله‌ی آمستردام	e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6
A00	Anderssen's Opening	گشایش اندرسن	a2a3
A00	Anderssen's Opening: Polish Gambit	گشایش اندرسن	a2a3 a7a5 b2b4
A00	Barnes Opening	گشایش بارنز	f2f3
A00	Barnes Opening: Fool's Mate	گشایش بارنز	f2f3 e7e5 g2g4 d8h4
A00	Barnes Opening: Gedult Gambit	گشایش بارنز	f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3
A00	Barnes Opening: Gedult Gambit	گشایش بارنز	f2f3 f7f5 e2e4 f5e4 b1c3
A00	Barnes Opening: Hammerschlag	گشایش بارنز	f2f3 e7e5 e1f2
A00	Clemenz Opening	گشایش کلمنز	h2h3
A00	Clemenz Opening: Spike Lee Gambit	گشایش کلمنز	h2h3 h7h5 g2g4
A00	Creepy Crawly Formation: Classical Defense	آرایش خزنده	h2h3 d7d5 a2a3 e7e5
A00	Formation: Hippopotamus Attack	آرایش	a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3
A00	Formation: Shy Attack	آرایش	a2a3 e7e5 g2g3 d7d5 f1g2 g8f6 d2d3 b8c6 b1d2 f8d6 e2e3 e8g8 h2h3
A00	Global Opening	گشایش گلوبال	h2h3 e7e5 a2a3
A00	Grob Opening	گشایش گروب	g2g4
A00	Grob Opening: Alessi Gambit	گشایش گروب	g2g4 f7f5
A00	Grob Opening: Double Grob	گشایش گروب	g2g4 g7g5
A00	Grob Opening: Double Grob, Coca-Cola Gambit	گشایش گروب	g2g4 g7g5 f2f4
A00	Grob Opening: Grob Gambit	گشایش گروب	g2g4 d7d5 f1g2
A00	Grob Opening: Grob Gambit Declined	گشایش گروب	g2g4 d7d5 f1g2 c7c6
A00	Grob Opening: Grob Gambit, Basman Gambit	گشایش گروب	g2g4 d7d5 f1g2 h7h5 g4h5
A00	Grob Opening: Grob Gambit, Fritz Gambit	گشایش گروب	g2g4 d7d5 f1g2 c8g4 c2c4
A00	Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit	گشایش گروب	g2g4 d7d5 f1g2 c8g4 c2c4 d5d4 g2b7 b8d7 b7a8 d8a8
A00	Grob Opening: Grob Gambit, Keres Gambit	گشایش گروب	g2g4 d7d5 f1g2 e7e5 d2d4 e5d4 c2c3
A00	Grob Opening: Grob Gambit, Richter-Grob Gambit	گشایش گروب	g2g4 d7d5 f1g2 c7c6 c2c4 d5c4 b2b3
A00	Grob Opening: Keene Defense	گشایش گروب	g2g4 d7d5 h2h3 e7e5 f1g2 c7c6
A00	Grob Opening: Keene Defense, Main Line	گشایش گروب	g2g4 d7d5 h2h3 e7e5 f1g2 c7c6 d2d4 e5e4 c2c4 f8d6 b1c3 g8e7
A00	Grob Opening: London Defense	گشایش گروب	g2g4 e7e5 h2h3 b8c6
A00	Grob Opening: Romford Countergambit	گشایش گروب	g2g4 d7d5 f1g2 c8g4 c2c4 d5d4
A00	Grob Opening: Spike Attack	گشایش گروب	g2g4 d7d5 f1g2 c7c6 g4g5
A00	Grob Opening: Spike, Hurst Attack	گشایش گروب	g2g4 e7e5 f1g2 d7d5 c2c4
A00	Grob Opening: Zilbermints Gambit	گشایش گروب	g2g4 d7d5 e2e4 d5e4 b1c3
A00	Grob Opening: Zilbermints Gambit, Schiller Defense	گشایش گروب	g2g4 d7d5 e2e4 d5e4 b1c3 h7h5
A00	Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit	گشایش گروب	g2g4 d7d5 e2e4 d5e4 b1c3 e7e5 d2d3
